用户名,平台,关注者,profile_url,最近的帖子,社区,评分,age_minutes,freshness_score,discovered_at,post_created_at
Covers,X,173300,https://x.com/Covers,[2026-06-21T01:55:54.000Z] ECUADOR ML JUST RUINED SO MANY PARLAYS 😭 THE ODDS FOR A DRAW WERE +950 🤯 WHO SAW THIS ONE COMING? 🇨🇼 https://t.co/GAKyvEBxVM || [2026-06-21T01:50:43.000Z] RT @JonMetler: I feel like I’m more focused on Tyler Herro joining the Detroit Pistons. A 60-win team adding a piece like Herro grabs you… || [2026-06-21T01:34:05.000Z] GIANNIS HAS GONE FROM A 44% TO A 71% CHANCE FOR HIS NEXT TEAM TO BE THE MIAMI HEAT AT @KalshiHoops 😱 IS IT HAPPENING? 👀 https://t.co/7Xg5WjDImZ,Betting,48,7,S,2026-06-21T02:03:53.934Z,2026-06-21T01:55:54.000Z
DraftKings,X,401300,https://x.com/DraftKings,[2026-06-21T01:50:17.000Z] Would you rather… 🔴 Hit three home runs ⚪️ Hit for the cycle That’s Schwarber and Harper tonight 🤯 https://t.co/994dmsHmgw || [2026-06-21T01:18:16.000Z] BRYCE HARPER CYCLE IN JUST FIVE INNINGS 😳 ✅ B1: Home run ✅ B3: Double ✅ B3: Single ✅ B5: Triple First career cycle for Bryce Harper 👏 https://t.co/92hanNAIu9 || [2026-06-21T00:55:40.000Z] Kyle Schwarber is the first hitter in the Statcast era with 900+ feet of home runs in a single inning 🤯 Previous high: Mark Trumbo — 859 feet (2016) (h/t @MLBONFOX) https://t.co/1scZhshGWd,Betting,45,13,S,2026-06-21T02:03:53.934Z,2026-06-21T01:50:17.000Z
Polymarket,X,1600000,https://x.com/Polymarket,[2026-06-21T01:47:06.000Z] RT @Polymarket: 🚨 NEW POLYMARKET: Ukraine signs peace deal with Russia by August 31? https://t.co/NCXLajUbj9 || [2026-06-20T06:17:00.000Z] 🚨 NEW POLYMARKET: Ukraine signs peace deal with Russia by August 31? https://t.co/NCXLajUbj9 || [2026-06-21T01:36:29.000Z] NEW: Trump announces the Lincoln Memorial Reflecting Pool may need to be drained for repairs after alleged vandalism.,Polymarket,45,16,A,2026-06-21T02:03:53.934Z,2026-06-21T01:47:06.000Z
CaesarsSports,X,56000,https://x.com/CaesarsSports,[2026-06-21T00:38:39.000Z] This is INSANE 🫪 (h/t ESPNFC) https://t.co/ShdmgV72WO || [2026-06-20T23:24:59.000Z] Today's tournament results so far 🇳🇱 5-1 🇸🇪 🇩🇪 2-1 🇨🇮 Will the trend keep rolling? 🤔 https://t.co/dXZWXKxSVM || [2026-06-20T23:18:39.000Z] Call your shot for this Group E matchup! 🇪🇨🇨🇼 https://t.co/lfDUKSusRR,Betting,49,85,C,2026-06-21T02:03:53.934Z,2026-06-21T00:38:39.000Z
WuBlockchain,X,557200,https://x.com/WuBlockchain,"[2026-06-20T23:51:52.000Z] Ethereum's Well-Known MEV Bot JaredFromSubway Exploited, Suffers $7.5 Million Loss Blockchain security firm Blockaid reported that Ethereum MEV bot JaredFromSubway lost approximately $7.5 million after attacker-controlled contracts tricked its automated execution system into https://t.co/jIGWAiDW9F || [2026-06-20T23:37:03.000Z] MainStreet-Related MSUSD Drops 85%, Morpho Market Hits 100% Utilization Amid Liquidity Concerns According to PeckShield, MainStreet Finance-related token MSUSD fell as much as 85%, while the Morpho msY/USDC market reached 100% utilization. AlphaUSDC Delta V2, curated by https://t.co/maPS7JwWke || [2026-06-20T20:11:00.000Z] Ripple CEO Blasts JPMorgan: Intentional misrepresentation to protect profits On June 11, 2026, Ripple CEO Brad Garlinghouse @bgarlinghouse responded to JPMorgan CEO Jamie Dimon's opposition to the Clarity Act during an interview on Fox Business. Garlinghouse stated that Dimon https://t.co/aFI2yar53B",Crypto Traders,54,132,C,2026-06-21T02:03:53.934Z,2026-06-20T23:51:52.000Z
oddscheckerUS,X,108700,https://x.com/oddscheckerUS,"[2026-06-20T23:03:23.000Z] It is officially ""Win or Go Home"" mode in Kansas City. 🍿⚽️ Both Ecuador and Curacao dropped their opening-day matches, meaning the loser of tonight's match is virtually booked on a flight home. Ecuador needs goals, and they need them fast if they want to survive https://t.co/CZBfXOxhAC || [2026-06-20T19:58:24.000Z] Get the hottest picks and betting trends in the palm of your hand. Backed by 5+ years of expertise combined with cutting-edge AI. Download OC+ today ➡️ https://t.co/kCqTYoChKQ https://t.co/BX4XV1tzto || [2026-06-20T19:02:53.000Z] If you like high-pressing, high-scoring chaos, this is your game of the weekend. 🍿⚽️ Germany is on a lethal 10-match winning streak, and Ivory Coast has quietly won 9 of their last 11 overall. Neither of these teams knows how to slow down. We are completely passing on a side https://t.co/28ftCQepOv",Betting,53,180,C,2026-06-21T02:03:53.934Z,2026-06-20T23:03:23.000Z
PolymarketCS2,X,15900,https://x.com/PolymarketCS2,[2026-06-20T22:49:58.000Z] Counter-Strike https://t.co/bT0Cik6aVR || [2026-06-20T21:52:33.000Z] Rumor: zont1x is getting replaced by Magnojez in Team Spirit (harumi) Polymarket traders are not buying it though - only 3% chance of any roster change before July https://t.co/UxAsEuTHh1 || [2026-06-20T21:52:44.000Z] What do you think? https://t.co/aWV87dEcg0,Polymarket,48,193,D,2026-06-21T02:03:53.934Z,2026-06-20T22:49:58.000Z
propsdotcash,X,161500,https://x.com/propsdotcash,"[2026-06-20T20:17:23.000Z] AJ Dybantsa says he didn’t workout for any NBA teams: “I didn’t work out for none, I just visited the cities. Take me to the facility, take me to dinner, talk. I don’t gotta workout. They know what I can do.” (via onbaselinebanter/YT, h/t @SleeperWizards) https://t.co/TNxRcHujgD || [2026-06-21T01:01:41.000Z] these top picks are treating the nba like it’s mycareer || [2026-06-20T02:39:52.000Z] Darius Acuff’s team desperately wants him in Sacramento and there is a legitimate chance a trade will be requested if he is selected by Los Angeles at 5 or Brooklyn at 6 (via @KevinOConnor h/t @SleeperNets) https://t.co/FfKp3cfY8z",Betting,48,346,D,2026-06-21T02:03:53.934Z,2026-06-20T20:17:23.000Z
oddschecker,X,151200,https://x.com/oddschecker,"[2026-06-20T19:06:47.000Z] RT @wizard_season: 🚨 Diomande, Tah & Nathaniel Brown ALL START ✅️ for our World Cup betbuilders for Germany v Ivory Coast! 2 bets @ 1.80 &… || [2026-06-20T09:59:42.000Z] 🇩🇪 GERMANY v IVORY COAST 🇨🇮 - Betbuilder @ 1.80 (1pt) - Longshot Betbuilder @ 6.50 (0.25pt) 👉 *** 1+ foul in last 29/30 starts. 👉 *** 1+ fouls won in last 6/6 starts. 👉 *** up against Diomande 👀 2 cracking WC bets for @oddschecker 👇 https://t.co/Da7IydzNhC || [2026-06-20T18:53:00.000Z] 🚨 Diomande, Tah & Nathaniel Brown ALL START ✅️ for our World Cup betbuilders for Germany v Ivory Coast! 2 bets @ 1.80 & 6.50 for @oddschecker 👇",Betting,46,417,D,2026-06-21T02:03:53.934Z,2026-06-20T19:06:47.000Z
Betfair,X,160500,https://x.com/Betfair,"[2026-06-20T18:54:34.000Z] When Netherlands qualify for the World Cup, they usually stick around. 2nd • 2nd • 15th • 7th • 4th • 11th • 2nd • 3rd • 5th • ? https://t.co/csewjfKl5P || [2026-06-20T18:51:51.000Z] 2⃣ goals in 2⃣ games at the World Cup so far. Crysencio Summerville is a man in demand 🔥 https://t.co/Cic6Slawic || [2026-06-20T17:52:02.000Z] RT @BetfairRacing: Spot the red cap 👀 Jockey Seamie Heffernan handed a 14-day suspension and trainer Tony Martin fined €3,000 following Eb…",Betting,43,429,D,2026-06-21T02:03:53.934Z,2026-06-20T18:54:34.000Z
CoinMarketCap,X,7100000,https://x.com/CoinMarketCap,"[2026-06-20T18:10:12.000Z] LATEST: 📊 CryptoQuant’s Ki Young Ju says Strategy’s STRC is most vulnerable if Bitcoin goes sideways for years, warning that “Bitcoin boredom” could erode demand for the instrument. https://t.co/bpJsshWJQv || [2026-06-20T17:00:07.000Z] CMC Blue is my favorite 💙 || [2026-06-20T14:15:01.000Z] EXPLAINED: 🚀 What do Binance, Hyperliquid, Backpack, and Trust Wallet all have in common? They're all betting that stocks belong on-chain. A tokenized SpaceX hit Solana the day it IPO'd, and one early flip could have beaten up to 6 years of holding ETH. Are stocks the new",Crypto Traders,43,473,D,2026-06-21T02:03:53.934Z,2026-06-20T18:10:12.000Z
BetMGM,X,328100,https://x.com/BetMGM,"[2026-06-20T16:32:24.000Z] Another $1 million in bonus bets has been PAID OUT after yesterday's 2-goal performance 💸 The Goal Rush promotion will continue throughout the Tournament for EVERY #USMNT match 🔗: https://t.co/RGWtzLCy6l https://t.co/t9tx3QSHCF || [2026-06-20T22:37:38.000Z] Villanova dudes are running the league right now - Jalen, Josh, Mikal won a chip - Collin signed a 4yr $48M deal https://t.co/i6hspNKzbL || [2026-06-20T22:34:13.000Z] RT @BetMGM: The Netherlands now owns the longest unbeaten streak in World Cup history (14 games) https://t.co/EsG1vLyrFI",Betting,43,571,D,2026-06-21T02:03:53.934Z,2026-06-20T16:32:24.000Z
ActionNetworkHQ,X,252000,https://x.com/ActionNetworkHQ,[2026-06-20T16:26:29.000Z] 🇺🇸 USA's most likely Round of 32 opponent based on @RotoDoc's simulations Bosnia and Herzegovina: 55.6% Qatar: 19.6% Ecuador: 7.5% Senegal: 4.5% https://t.co/wrThM0vTr5 || [2026-06-21T01:58:46.000Z] RT @EvanHAbrams: Curacao gets the draw at 9/1 odds and a performance of a lifetime from Eloy Room https://t.co/tHgvshBMyB || [2026-06-21T01:57:57.000Z] Curacao gets the draw at 9/1 odds and a performance of a lifetime from Eloy Room https://t.co/tHgvshBMyB,Betting,43,577,D,2026-06-21T02:03:53.934Z,2026-06-20T16:26:29.000Z
PolymarketLoL,X,14100,https://x.com/PolymarketLoL,"[2026-06-20T16:22:37.000Z] If HLE or T1 wins MSI, LCK will tie LPL at 5 titles each 🏆 Traders are giving LCK a 63% chance of making it happen 👀 https://t.co/wS0EcBmS8H || [2026-06-20T19:00:26.000Z] JUST IN: Croatia 🇭🇷 are OUT of Esports Nation Cup after losing to Hungary 🇭🇺 and Serbia 🇷🇸 🇭🇷 vs 🇭🇺 - 0-1 🇭🇷 vs 🇷🇸 - 0-1 - Perkz was unable to qualify to ENC Main Stage... https://t.co/ZmF1J303Ka || [2026-06-20T17:24:43.000Z] JUST IN: Germany 🇩🇪 defeats Belgium 🇧🇪 in the ENC qualifier - they will play against Netherlands 🇳🇱 tomorrow in a Bo3 for a spot in the Main Event. https://t.co/TdclWuZpGK",Polymarket,43,581,D,2026-06-21T02:03:53.934Z,2026-06-20T16:22:37.000Z
PolymarketFC,X,207100,https://x.com/PolymarketFC,[2026-06-20T15:48:28.000Z] 🚨 NEVER SEEN BEFORE! 🤯 Lamine Yamal celebrating Spain’s elimination against Morocco in World Cup 2022. 🇲🇦🇪🇸 https://t.co/lc2JYy7tri || [2025-04-26T21:33:43.000Z] https://t.co/r6uEI5UBZ0 || [2025-04-26T22:41:39.000Z] It’s over https://t.co/7KFMgUuRrc,Polymarket,40,615,D,2026-06-21T02:03:53.934Z,2026-06-20T15:48:28.000Z
FanDuel,X,395700,https://x.com/FanDuel,"[2026-06-20T13:53:58.000Z] Should Christian Pulisic suit up for the U.S. vs. Türkiye? Gregg Berhalter says yes: ""I think you do a return to play. You don't want that much time (between games)."" @RobStoneONFOX | #USMNT https://t.co/ZiMYGylANY || [2026-06-20T23:42:49.000Z] True or False? ✍️ Cade Cunningham > Jalen Brunson https://t.co/lAqI7nOhrh || [2026-06-20T22:39:15.000Z] OZZIE WALKS IT OFF FOR THE BRAVES OMG 😱 https://t.co/sD29kU2Tj9",Betting,43,729,D,2026-06-21T02:03:53.934Z,2026-06-20T13:53:58.000Z
