用户名,平台,关注者,profile_url,最近的帖子,社区,评分,age_minutes,freshness_score,discovered_at,post_created_at
propsdotcash,X,161500,https://x.com/propsdotcash,"[2026-06-20T17:33:18.000Z] I don’t think I’ve ever heard Kawhi talk this much 😅 “Big hand man, so I never lose it…” “You see the drip… I’m always fresh if the Feds watching that’s what 2 chainz said.” “My daily music rotation includes… Rich Rocka. CashBoy Tax, and myself included…” (h/t https://t.co/N1teg8Z4Yo || [2026-06-20T21:50:32.000Z] this gotta be the most he’s ever talked in an interview || [2026-06-20T17:58:04.000Z] KELSEY MITCHELL BROKE BOTH OF HER ANKLES THIS IS CRAZY. 🤯 (h/t @ShowCaseShabazz) https://t.co/CXPpKQBpjq",Betting,40,381,D,2026-06-20T23:54:22.468Z,2026-06-20T17:33:18.000Z
BetMGM,X,328100,https://x.com/BetMGM,"[2026-06-20T16:32:24.000Z] Another $1 million in bonus bets has been PAID OUT after yesterday's 2-goal performance 💸 The Goal Rush promotion will continue throughout the Tournament for EVERY #USMNT match 🔗: https://t.co/RGWtzLCy6l https://t.co/t9tx3QSHCF || [2026-06-20T22:37:38.000Z] Villanova dudes are running the league right now - Jalen, Josh, Mikal won a chip - Collin signed a 4yr $48M deal https://t.co/i6hspNKzbL || [2026-06-20T22:34:13.000Z] RT @BetMGM: The Netherlands now owns the longest unbeaten streak in World Cup history (14 games) https://t.co/EsG1vLyrFI",Betting,43,441,D,2026-06-20T23:54:22.468Z,2026-06-20T16:32:24.000Z
ActionNetworkHQ,X,252000,https://x.com/ActionNetworkHQ,[2026-06-20T16:26:29.000Z] 🇺🇸 USA's most likely Round of 32 opponent based on @RotoDoc's simulations Bosnia and Herzegovina: 55.6% Qatar: 19.6% Ecuador: 7.5% Senegal: 4.5% https://t.co/wrThM0vTr5 || [2026-06-20T22:56:43.000Z] OZZIE ALBIES WALK-OFF HOMER!💣 He crushes his second home run of the game to win it for Atlanta! (-137)🔥 https://t.co/M7vq26RQS8 || [2026-06-20T23:03:10.000Z] The Brewers had a 91% win probability right before this swing 😳📉 https://t.co/JvNHbvg4tD,Betting,40,447,D,2026-06-20T23:54:22.468Z,2026-06-20T16:26:29.000Z
PolymarketLoL,X,14100,https://x.com/PolymarketLoL,"[2026-06-20T16:22:37.000Z] If HLE or T1 wins MSI, LCK will tie LPL at 5 titles each 🏆 Traders are giving LCK a 63% chance of making it happen 👀 https://t.co/wS0EcBmS8H || [2026-06-20T19:00:26.000Z] JUST IN: Croatia 🇭🇷 are OUT of Esports Nation Cup after losing to Hungary 🇭🇺 and Serbia 🇷🇸 🇭🇷 vs 🇭🇺 - 0-1 🇭🇷 vs 🇷🇸 - 0-1 - Perkz was unable to qualify to ENC Main Stage... https://t.co/ZmF1J303Ka || [2026-06-20T17:24:43.000Z] JUST IN: Germany 🇩🇪 defeats Belgium 🇧🇪 in the ENC qualifier - they will play against Netherlands 🇳🇱 tomorrow in a Bo3 for a spot in the Main Event. https://t.co/TdclWuZpGK",Polymarket,43,451,D,2026-06-20T23:54:22.468Z,2026-06-20T16:22:37.000Z
PolymarketFC,X,207200,https://x.com/PolymarketFC,[2026-06-20T15:48:28.000Z] 🚨 NEVER SEEN BEFORE! 🤯 Lamine Yamal celebrating Spain’s elimination against Morocco in World Cup 2022. 🇲🇦🇪🇸 https://t.co/lc2JYy7tri || [2025-04-26T21:33:43.000Z] https://t.co/r6uEI5UBZ0 || [2025-04-26T22:41:39.000Z] It’s over https://t.co/7KFMgUuRrc,Polymarket,40,485,D,2026-06-20T23:54:22.468Z,2026-06-20T15:48:28.000Z
FanDuel,X,395700,https://x.com/FanDuel,"[2026-06-20T13:53:58.000Z] Should Christian Pulisic suit up for the U.S. vs. Türkiye? Gregg Berhalter says yes: ""I think you do a return to play. You don't want that much time (between games)."" @RobStoneONFOX | #USMNT https://t.co/ZiMYGylANY || [2026-06-20T23:42:49.000Z] True or False? ✍️ Cade Cunningham > Jalen Brunson https://t.co/lAqI7nOhrh || [2026-06-20T22:39:15.000Z] OZZIE WALKS IT OFF FOR THE BRAVES OMG 😱 https://t.co/sD29kU2Tj9",Betting,43,600,D,2026-06-20T23:54:22.468Z,2026-06-20T13:53:58.000Z
bet365,X,488300,https://x.com/bet365,"[2026-06-20T13:35:38.000Z] Lamine Yamal will have a better career than Mo Salah, Arjen Robben & Gareth Bale. 🗣️ @Tgarratt10 https://t.co/DE4TkSGOMg || [2026-06-20T22:27:00.000Z] A Time-Out is one of a number of tools available to help you stay in control of your gambling. || [2026-06-20T22:01:06.000Z] 29 spaces left.",Betting,43,618,D,2026-06-20T23:54:22.468Z,2026-06-20T13:35:38.000Z
esidery,X,69400,https://x.com/esidery,"[2026-06-20T13:22:03.000Z] The Bucks and Heat are making significant progress towards a Giannis Antetokounmpo trade being finished. Milwaukee and Miami are haggling over inclusions of unprotected future picks and all of their prospects. The Pistons appear to be involved as a facilitator for Tyler Herro. https://t.co/YVvlXQTIvi || [2025-02-02T08:47:34.000Z] The Lakers and Mavericks will face off on February 25th in Los Angeles for a nationally televised game on TNT. This will now very likely become the most watched NBA regular season game in years. https://t.co/oSyZCooGVO || [2025-02-03T17:46:00.000Z] The Luka Doncic trade would’ve included Dalton Knecht and more first-round picks, but Rob Pelinka was able to convince Nico Harrison that was too much due to his conditioning concerns, per @kirkgoldsberry (https://t.co/jsMFVD7OOv). What an unbelievable blunder for the Mavericks. https://t.co/Ihqth3u8xW",Polymarket,43,632,D,2026-06-20T23:54:22.468Z,2026-06-20T13:22:03.000Z
PickTheOdd,X,4271,https://x.com/PickTheOdd,"[2026-06-19T23:25:41.000Z] Today's New Feature: 🆕 - New Feature: Hold % Limits and Shares Limits for EV calculations. Found in the EV section, you can now limit a specific book, or an advanced filter down by max Hold % and/or max shares. Share is another version of liquidity but if you need a full https://t.co/FNNvNH1rnb || [2026-06-20T22:58:36.000Z] 🇪🇨 Ecuador vs Curaçao 🇨🇼 Top goal scorer odds for this match: 👇 • Enner Valencia (-115 on Fanatics) • John Yeboah (+178 on Caesars) • Gonzalo Plata (+210 on HardRock) Best Odds from the @PickTheOdd Odds Screen! 📊 #FIFAWorldCup https://t.co/j3GKhS796Z || [2026-06-20T18:57:34.000Z] RT @PickTheOdd: Today's New Feature: 🆕 - New Feature: Hold % Limits and Shares Limits for EV calculations. Found in the EV section, you ca…",Betting,36,1468,D,2026-06-20T23:54:22.468Z,2026-06-19T23:25:41.000Z
PollTracker2024,X,47000,https://x.com/PollTracker2024,"[2026-06-19T21:30:59.000Z] YouGov poll | 6/2-6/5 Do you approve of Juneteenth being a national holiday? ✅Approve 67% ❌Disapprove 21% —— Crosstabs (net approval) ✅Democrats: (+86) [91-5] ✅Republicans: (+8) [47-39] ✅Independents: (+45) [64-19] ✅Black: (+77) [85-8] ✅White: (+37) [63-26] ✅Hispanic: https://t.co/oJFQio9CFZ || [2025-01-21T05:33:00.000Z] This is really something. https://t.co/i0sDvlUynJ || [2024-11-28T15:44:14.000Z] Thankful for Nancy’s one good quality, today. https://t.co/hzKCZ0VPV4",Prediction Markets,33,1583,D,2026-06-20T23:54:22.468Z,2026-06-19T21:30:59.000Z
